Strategy,Position,Trade Price,Trade Time,Eval Time,Status
P530SMA1,105.0,,,,
P530SMA2,105.0,,,,
P530SMA3,105.0,,,,
P530EMA1,-105.0,44544.1,2023-08-29 13:45:40.911636,2023-08-29 13:45:40.911636,-1.0
P530EMA2,-105.0,44519.3,2023-08-29 14:15:41.133359,2023-08-29 14:15:41.133359,-1.0
P560SMA1,105.0,,,,
P560SMA2,-105.0,,,,
P560SMA3,105.0,,,,
P560SMA4,105.0,,,,
P560EMA1,105.0,,,,
P560EMA2,0.0,44519.3,2023-08-29 14:15:40.248373,2023-08-29 14:15:40.248373,-1.0
P5DSMA1,105.0,,,,
P5DSMA2,-105.0,,,,
P5DSMA3,-105.0,,,,
P5DSMA4,-105.0,,,,
P5DEMA1,-105.0,,,,
P5DEMA2,105.0,44500.0,2023-08-29 09:15:10.409544,2023-08-29 09:15:10.409544,1.0
P5DEMA3,-105.0,,,,
,,,,,
