Strategy,Position,Trade Price,Trade Time,Eval Time,Status
N5ST2,105,,,,
N15SMA1,105,,,,
N15SMA2,105,,,,
N15SMA3,105,,,,
N15SMA4,105,,,,
N15SMA5,105,,,,
N15EMA1,105,,,,
N15EMA3,105,,,,
N15ST1,-105,,,,
N15ST2,105,,,,
N15ST4,-105,,,,
N15ST5,105,,,,
N15ST6,-105,,,,
N15ST7,-105,,,,
N30SMA1,105,,,,
N30SMA2,105,,,,
N30SMA3,105,44500.0,2023-08-29 09:16:02.917276,2023-08-29 09:16:02.917276,1.0
N30SMA4,-105,,,,
N30SMA5,105,,,,
N30SMA6,105,,,,
N30EMA1,105,,,,
N30EMA2,-105,,,,
N30EMA3,-105,44499.0,2023-08-29 15:16:03.891116,2023-08-29 15:16:03.891116,-1.0
N30EMA4,105,,,,
N30EMA5,-105,44519.3,2023-08-29 14:16:03.652988,2023-08-29 14:16:03.652988,-1.0
N30EMA6,105,,,,
N30ST1,105,,,,
N30ST2,105,,,,
N30ST3,105,,,,
N30ST4,105,,,,
N60SMA1,-105,,,,
N60SMA2,-105,,,,
N60SMA3,105,,,,
N60SMA4,105,,,,
N60SMA5,-105,,,,
N60SMA6,105,,,,
N60EMA1,105,,,,
N60EMA2,-105,,,,
N60EMA3,105,,,,
N60EMA4,105,,,,
N60EMA5,105,,,,
N60EMA6,105,44560.0,2023-08-29 10:16:28.134711,2023-08-29 10:16:28.134711,1.0
N60ST1,105,,,,
N60ST2,105,,,,
N60ST3,-105,,,,
N60ST4,105,,,,
N60ST5,105,,,,
NDSMA1,105,44500.0,2023-08-29 09:15:09.890560,2023-08-29 09:15:09.890560,1.0
NDSMA2,-105,,,,
NDSMA3,-105,,,,
NDSMA4,-105,,,,
NDSMA5,-105,,,,
NDSMA6,-105,,,,
NDSMA7,-105,,,,
NDEMA1,-105,,,,
NDEMA2,-105,,,,
NDEMA3,-105,,,,
NDEMA4,-105,,,,
NDEMA5,-105,,,,
NDEMA6,105,44500.0,2023-08-29 09:15:12.583503,2023-08-29 09:15:12.583503,1.0
NDEMA7,-105,,,,
NDEMA8,-105,,,,
NDEMA9,105,,,,
NDEMA10,-105,,,,
NDST1,-105,,,,
NDST2,-105,,,,
NDST3,-105,,,,
NDST4,-105,,,,
NDMACD1,105,44500.0,2023-08-29 09:15:14.772010,2023-08-29 09:15:14.772010,1.0
NDMACD2,105,44500.0,2023-08-29 09:15:15.606997,2023-08-29 09:15:15.606997,1.0
N60MACD1,105,,,,
